#{"t_start": 1781496808.1531193, "env_id": "None"}
r,l,t
174.298303,200,52.515935
173.068738,200,53.690375
173.602343,200,53.825857
171.809148,200,53.967315
172.091962,200,54.105756
170.598958,200,54.258436
172.190091,200,54.419023
174.155567,200,54.565739
171.586138,200,54.700227
171.575502,200,54.852559
169.594329,200,56.403545
171.10248,200,56.550139
171.050777,200,56.71854
172.951668,200,56.876373
169.325304,200,57.019475
171.573438,200,57.175431
171.122171,200,57.317439
175.105483,200,57.469426
170.365365,200,57.604751
174.796712,200,57.734388
173.222054,200,59.093871
175.009044,200,59.228697
173.036194,200,59.400485
171.472716,200,59.53303
175.226082,200,59.671333
174.000819,200,59.848747
174.035863,200,61.022044
173.325638,200,61.179912
171.580632,200,61.305745
170.542123,200,61.443546
172.5922,200,62.970929
172.703397,200,63.138816
173.203924,200,63.349195
172.842965,200,63.612625
171.728041,200,63.84347
171.560108,200,64.092502
173.074236,200,64.325674
172.834427,200,64.537212
173.268557,200,64.689187
171.593192,200,64.849637
170.30474,200,65.026031
173.266202,200,66.647633
175.077357,200,66.856649
172.767122,200,67.030193
173.917556,200,67.210914
173.964228,200,67.415204
171.225153,200,67.645854
173.734977,200,67.840574
171.829471,200,68.045598
175.102164,200,68.222997
174.140878,200,68.372336
172.924581,200,71.521432
170.996414,200,71.693864
170.971127,200,71.806439
176.258849,200,71.926763
175.583032,200,72.090894
174.78478,200,72.250297
173.679022,200,72.429109
170.013504,200,72.617801
172.814644,200,72.780471
173.934964,200,73.002071
170.204849,200,74.761156
170.873717,200,74.904423
172.285314,200,75.160728
172.737623,200,75.331324
170.531386,200,75.480688
174.446221,200,75.649697
176.233711,200,75.851557
174.087921,200,75.998746
170.883341,200,76.22138
175.139562,200,76.388816
171.361191,200,78.03965
173.414216,200,78.18723
174.782211,200,78.377882
172.986984,200,78.53521
172.496266,200,78.74813
171.859139,200,80.28327
170.536886,200,80.460555
172.657692,200,80.618583
174.862028,200,80.821215
174.55128,200,81.056758
174.866238,200,81.290074
173.075695,200,82.917925
174.181345,200,83.101594
174.347688,200,83.265064
174.90159,200,83.400104
171.150221,200,83.537312
170.248668,200,83.70672
172.376069,200,83.896565
172.118786,200,84.020817
175.458798,200,84.262052
173.461982,200,84.415705
171.559352,200,86.036011
175.561679,200,86.199594
170.489957,200,86.313043
171.203574,200,86.526921
173.574579,200,86.736762
173.193277,200,86.86202
172.771267,200,87.065648
177.307943,200,87.33623
173.188506,200,87.534324
176.444417,200,88.884445
172.651038,200,90.567024
178.26061,200,90.709727
179.706526,200,90.910486
173.42562,200,91.104977
174.03946,200,91.251496
177.604421,200,91.422455
170.661318,200,91.5985
171.592429,200,91.717809
170.748687,200,91.883922
173.656403,200,92.04142
174.604277,200,93.56453
178.314531,200,93.720714
177.036775,200,93.886375
173.168617,200,94.085061
173.109913,200,94.223938
177.821846,200,94.359263
175.181568,200,94.57688
178.372088,200,94.775637
179.263663,200,94.946593
172.256521,200,95.18095
174.095031,200,96.692948
171.938888,200,96.876144
175.210986,200,97.092597
177.829115,200,97.281868
172.005308,200,98.918558
176.926184,200,99.124251
175.405027,200,99.319185
178.696155,200,99.483639
175.047887,200,99.69843
173.461395,200,99.882566
177.961669,200,100.091711
177.874584,200,101.860041
172.866726,200,102.092726
174.848084,200,102.276145
174.636084,200,102.446531
174.251464,200,102.669126
178.39512,200,102.830065
178.346182,200,102.983981
173.2462,200,103.156911
174.948555,200,103.281048
175.259988,200,103.416873
174.323873,200,105.226448
174.999188,200,105.371053
178.109775,200,105.536427
175.736912,200,105.657635
176.958328,200,105.873917
176.360046,200,106.057178
178.601872,200,106.253934
172.741357,200,106.449073
178.494863,200,107.685373
169.970699,200,107.803291
179.257272,200,109.766905
180.543031,200,109.904637
172.132798,200,110.128334
175.071533,200,110.251981
177.989661,200,110.438184
181.114244,200,110.600661
179.692503,200,110.816734
179.375657,200,111.048819
180.815835,200,111.247246
173.241731,200,111.50136
179.626939,200,113.281649
181.267333,200,113.432812
173.685082,200,113.616336
174.123998,200,113.77456
180.638442,200,113.935014
177.130881,200,114.114145
179.286576,200,114.307624
181.119199,200,114.565699
182.560096,200,114.727986
175.1772,200,114.882659
178.145484,200,115.013155
180.822077,200,116.599534
179.00879,200,116.802617
170.394516,200,118.408683
179.959024,200,118.543523
179.437367,200,118.688141
180.626854,200,118.908865
178.649453,200,119.065504
178.863094,200,119.27682
173.634779,200,119.436646
169.7289,200,119.648534
175.053894,200,121.252748
178.905745,200,121.407216
179.278977,200,121.627118
178.090025,200,121.817227
180.160793,200,122.018679
179.651702,200,122.193525
178.726722,200,122.389578
171.759566,200,122.565831
179.671291,200,122.706289
180.364243,200,122.846656
178.890207,200,124.392833
171.65993,200,124.549028
179.078718,200,124.701644
178.055836,200,124.844733
179.336664,200,125.009279
179.075146,200,125.233957
178.410487,200,125.379811
180.160293,200,126.778431
179.736729,200,126.918893
178.200763,200,127.083458
174.165691,200,128.704528
179.098212,200,128.850685
178.294345,200,129.029297
176.74712,200,129.244212
179.897767,200,129.446863
176.663493,200,129.617993
179.432073,200,129.78393
178.0294,200,129.931397
176.575449,200,130.147799
180.307283,200,130.367099
176.07964,200,130.560927
177.302535,200,132.281783
177.85551,200,132.477326
178.838215,200,132.633993
179.388222,200,132.794353
179.953377,200,132.960027
176.573924,200,133.157821
178.049206,200,133.293303
177.326991,200,133.428664
177.901254,200,133.627896
179.652561,200,133.794065
177.239285,200,135.532387
179.986962,200,137.012913
177.853345,200,137.214265
178.551293,200,137.409226
179.320268,200,137.681301
177.675583,200,137.874462
176.974381,200,138.042098
177.644451,200,138.2276
178.933402,200,138.412041
177.187396,200,138.606346
177.169662,200,140.573775
178.244058,200,140.747198
178.527606,200,141.017663
178.007934,200,141.224796
177.933719,200,141.422302
178.380783,200,141.628253
175.523783,200,141.912712
176.770596,200,142.111175
175.335921,200,142.283614
175.857345,200,142.435641
175.313133,200,144.429224
178.827542,200,144.625894
179.032364,200,144.893636
178.427485,200,145.04346
178.155399,200,145.253046
178.795496,200,145.416884
178.044773,200,146.958866
170.969926,200,147.170064
176.84495,200,147.377162
176.458582,200,147.556544
175.399696,200,147.702882
176.169309,200,149.664747
177.157974,200,149.932747
175.245666,200,150.133276
175.245772,200,150.310561
177.648564,200,150.483212
177.397748,200,150.693256
178.598604,200,150.919273
175.782959,200,151.142152
179.672772,200,151.328118
177.260409,200,151.502102
178.730552,200,153.168485
177.212695,200,153.356067
175.972936,200,153.530323
176.995997,200,153.6849
179.129324,200,153.896129
177.774934,200,154.110642
177.014132,200,154.317152
177.079787,200,154.480747
178.9346,200,154.617692
179.376755,200,154.789256
176.195708,200,157.796811
178.160278,200,157.940093
172.404283,200,158.11483
172.987708,200,158.238158
178.642156,200,158.417532
174.848579,200,158.639505
177.505604,200,158.869493
178.273198,200,159.051344
175.179743,200,159.296549
175.525255,200,159.528826
176.288543,200,161.079519
177.888769,200,161.229784
175.950309,200,161.428108
177.272702,200,161.651185
180.202397,200,161.840498
178.054099,200,161.975113
178.547919,200,162.145754
179.231004,200,162.344679
177.61924,200,162.472453
177.17224,200,162.672318
176.893579,200,162.903488
176.164357,200,164.332968
175.586938,200,164.477886
177.431582,200,164.709755
174.703657,200,164.841659
178.868,200,166.416769
178.33191,200,166.566605
175.931958,200,166.736259
175.353054,200,166.933459
176.252501,200,167.171007
177.139097,200,167.405652
175.505778,200,169.033197
177.361925,200,169.191138
175.369906,200,169.419032
174.985505,200,169.567999
175.286031,200,169.762645
173.755056,200,169.942781
176.684315,200,170.103913
174.510042,200,170.261728
175.550463,200,170.394764
177.962659,200,170.546247
177.402154,200,172.226139
173.91675,200,172.344305
177.608457,200,172.521054
177.540348,200,172.793206
174.026646,200,172.999994
177.758792,200,173.119197
174.646947,200,173.291548
176.697352,200,173.458989
177.151412,200,173.70394
177.212458,200,175.222186
